[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:36:27 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300026&start=20170921&end=20171127&stat=1&order=D&period=d,size=3730, try=0
[I 171127 16:36:27 DataFether:171] 300026,20170921,42 history data download ok.
[I 171127 16:36:28 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600617&start=20170921&end=20171127&stat=1&order=D&period=d,size=3703, try=0
[I 171127 16:36:28 DataFether:171] 600617,20170921,42 history data download ok.
[I 171127 16:36:29 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600814&start=20170921&end=20171127&stat=1&order=D&period=d,size=3814, try=0
[I 171127 16:36:29 DataFether:171] 600814,20170921,42 history data download ok.
[I 171127 16:36:30 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300726&start=20170921&end=20171127&stat=1&order=D&period=d,size=549, try=0
[I 171127 16:36:30 DataFether:171] 300726,20170921,5 history data download ok.
[I 171127 16:36:31 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002864&start=20170921&end=20171127&stat=1&order=D&period=d,size=802, try=0
[I 171127 16:36:31 DataFether:171] 002864,20170921,8 history data download ok.
[I 171127 16:36:31 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603912&start=20170921&end=20171127&stat=1&order=D&period=d,size=1807, try=0
[I 171127 16:36:32 DataFether:171] 603912,20170921,19 history data download ok.
[I 171127 16:36:32 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_601313&start=20170921&end=20171127&stat=1&order=D&period=d,size=1430, try=0
[I 171127 16:36:32 DataFether:171] 601313,20170921,15 history data download ok.
[I 171127 16:36:33 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300725&start=20170921&end=20171127&stat=1&order=D&period=d,size=1138, try=0
[I 171127 16:36:33 DataFether:171] 300725,20170921,12 history data download ok.
[I 171127 16:36:33 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300557&start=20170921&end=20171127&stat=1&order=D&period=d,size=3844, try=0
[I 171127 16:36:34 DataFether:171] 300557,20170921,42 history data download ok.
[I 171127 16:36:34 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300723&start=20170921&end=20171127&stat=1&order=D&period=d,size=825, try=0
[I 171127 16:36:34 DataFether:171] 300723,20170921,8 history data download ok.
[I 171127 16:36:35 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002625&start=20170921&end=20171127&stat=1&order=D&period=d,size=307, try=0
[I 171127 16:36:35 DataFether:171] 002625,20170921,2 history data download ok.
[I 171127 16:36:35 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600903&start=20170921&end=20171127&stat=1&order=D&period=d,size=1375, try=0
[I 171127 16:36:35 DataFether:171] 600903,20170921,15 history data download ok.
[I 171127 16:36:36 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002911&start=20170921&end=20171127&stat=1&order=D&period=d,size=472, try=0
[I 171127 16:36:36 DataFether:171] 002911,20170921,4 history data download ok.
[I 171127 16:36:37 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000792&start=20170921&end=20171127&stat=1&order=D&period=d,size=3551, try=0
[I 171127 16:36:37 DataFether:171] 000792,20170921,37 history data download ok.
[I 171127 16:36:37 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002912&start=20170921&end=20171127&stat=1&order=D&period=d,size=551, try=0
[I 171127 16:36:38 DataFether:171] 002912,20170921,5 history data download ok.
[I 171127 16:36:38 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300722&start=20170921&end=20171127&stat=1&order=D&period=d,size=1147, try=0
[I 171127 16:36:38 DataFether:171] 300722,20170921,12 history data download ok.
[I 171127 16:36:39 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_601019&start=20170921&end=20171127&stat=1&order=D&period=d,size=488, try=0
[I 171127 16:36:39 DataFether:171] 601019,20170921,4 history data download ok.
[I 171127 16:36:40 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603083&start=20170921&end=20171127&stat=1&order=D&period=d,size=1167, try=0
[I 171127 16:36:40 DataFether:171] 603083,20170921,12 history data download ok.
[I 171127 16:36:41 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002866&start=20170921&end=20171127&stat=1&order=D&period=d,size=3856, try=0
[I 171127 16:36:41 DataFether:171] 002866,20170921,42 history data download ok.
[I 171127 16:36:42 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600206&start=20170921&end=20171127&stat=1&order=D&period=d,size=3939, try=0
[I 171127 16:36:42 DataFether:171] 600206,20170921,42 history data download ok.
[I 171127 16:36:43 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300586&start=20170921&end=20171127&stat=1&order=D&period=d,size=3877, try=0
[I 171127 16:36:43 DataFether:171] 300586,20170921,42 history data download ok.
[I 171127 16:36:44 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002199&start=20170921&end=20171127&stat=1&order=D&period=d,size=3892, try=0
[I 171127 16:36:44 DataFether:171] 002199,20170921,42 history data download ok.
